wmo,field,ui_value,decoder_ui_api_value,upstream_or_registry_source,upstream_value,independently_calculated_value,transformation,verification,api_generated_at_utc,result
1902844,Profiles Missing,1,1,https://data-argo.ifremer.fr/dac/incois/1902844/profiles/ [recognized filenames; distinct positive cycles],1,1,Missing cycle numbers in 1..Prof# across recognized profile families,UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,WMO ID,2901304,2901304,config/metadata/meta.csv:5 [WMO id] | https://data-argo.ifremer.fr/dac/incois/2901304/2901304_meta.nc [PLATFORM_NUMBER],2901304,2901304,Current preset WMO; validate upstream PLATFORM_NUMBER,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Internal ID,102525,102525,"config/metadata/meta.csv:5 [Argos number, else imei]",Not used: local registry only; operational identity not independently verified,102525,"Local PTT, else local IMEI; unavailable stays null",LOCAL SOURCE MATCH,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Float Type,APEX,APEX,config/metadata/meta.csv + MultiCsvLoader.load_info(wmo).float_type → preset.platform_type | https://data-argo.ifremer.fr/dac/incois/2901304/2901304_meta.nc [PLATFORM_TYPE],APEX,APEX,Preset platform_type; public metadata cross-check where available,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Latitude,58.870°S,-58.87,https://data-argo.ifremer.fr/dac/incois/2901304/2901304_Rtraj.nc [LATITUDE index 532; JULD; POSITION_QC=1],-58.87,-58.87,"Newest paired QC 1/2 position, same source row as longitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Longitude,72.648°E,72.648,https://data-argo.ifremer.fr/dac/incois/2901304/2901304_Rtraj.nc [LONGITUDE index 532; JULD; POSITION_QC=1],72.648,72.648,"Newest paired QC 1/2 position, same source row as latitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Last Transmission,2011-09-22 08:47 UTC,2011-09-22T08:47:29+00:00,https://data-argo.ifremer.fr/dac/incois/2901304/2901304_Rtraj.nc [JULD_LAST_MESSAGE index 22; raw JULD=22544.366307870372],JULD_LAST_MESSAGE[22] = 22544.366307870372 days since 1950-01-01 UTC,2011-09-22T08:47:29+00:00,Maximum valid authoritative per-cycle field; UTC; no measurement/profile substitution,UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Expected Next Communication,2011-10-02 08:47 UTC,2011-10-02T08:47:29+00:00,https://data-argo.ifremer.fr/dac/incois/2901304/2901304_Rtraj.nc [JULD_LAST_MESSAGE index 22; raw JULD=22544.366307870372],2011-09-22T08:47:29+00:00,2011-10-02T08:47:29+00:00,Last Transmission +10 exact UTC days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,No Communication / elapsed days,5477 d,5477.5398446642475,https://data-argo.ifremer.fr/dac/incois/2901304/2901304_Rtraj.nc [JULD_LAST_MESSAGE index 22; raw JULD=22544.366307870372],2011-09-22T08:47:29+00:00,5477.5398446642475,(API generated_at - Last Transmission)/86400; UI floors completed days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Communication Status,NO COMMUNICATION 60+ DAYS,NO COMMUNICATION 60+ DAYS,https://data-argo.ifremer.fr/dac/incois/2901304/2901304_Rtraj.nc [JULD_LAST_MESSAGE index 22; raw JULD=22544.366307870372],2011-09-22T08:47:29+00:00,NO COMMUNICATION 60+ DAYS,<=10 ACTIVE; >10 and <60 OVERDUE; >=60 NO COMMUNICATION; no timestamp NO DATA,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Prof# (highest cycle),20,20,https://data-argo.ifremer.fr/dac/incois/2901304/profiles/ [recognized filenames; distinct positive cycles],20,20,"Maximum recognized published cycle, not available count",UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901304,Profiles Missing,0,0,https://data-argo.ifremer.fr/dac/incois/2901304/profiles/ [recognized filenames; distinct positive cycles],0,0,Missing cycle numbers in 1..Prof# across recognized profile families,UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,WMO ID,2901305,2901305,config/metadata/meta.csv:6 [WMO id] | https://data-argo.ifremer.fr/dac/incois/2901305/2901305_meta.nc [PLATFORM_NUMBER],2901305,2901305,Current preset WMO; validate upstream PLATFORM_NUMBER,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Internal ID,102526,102526,"config/metadata/meta.csv:6 [Argos number, else imei]",Not used: local registry only; operational identity not independently verified,102526,"Local PTT, else local IMEI; unavailable stays null",LOCAL SOURCE MATCH,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Float Type,APEX,APEX,config/metadata/meta.csv + MultiCsvLoader.load_info(wmo).float_type → preset.platform_type | https://data-argo.ifremer.fr/dac/incois/2901305/2901305_meta.nc [PLATFORM_TYPE],APEX,APEX,Preset platform_type; public metadata cross-check where available,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Latitude,62.021°S,-62.021,https://data-argo.ifremer.fr/dac/incois/2901305/2901305_Rtraj.nc [LATITUDE index 969; JULD; POSITION_QC=1],-62.021,-62.021,"Newest paired QC 1/2 position, same source row as longitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Longitude,60.694°E,60.694,https://data-argo.ifremer.fr/dac/incois/2901305/2901305_Rtraj.nc [LONGITUDE index 969; JULD; POSITION_QC=1],60.694,60.694,"Newest paired QC 1/2 position, same source row as latitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Last Transmission,—,,No last-message or transmission-end field. Generic measurement JULD is not used.,No last-message or transmission-end field. Generic measurement JULD is not used.,,Maximum valid authoritative per-cycle field; UTC; no measurement/profile substitution,UNAVAILABLE; NOT INFERRED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Expected Next Communication,—,,No last-message or transmission-end field. Generic measurement JULD is not used.,No last-message or transmission-end field. Generic measurement JULD is not used.,,Last Transmission +10 exact UTC days,UNAVAILABLE; NOT INFERRED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,No Communication / elapsed days,—,,No last-message or transmission-end field. Generic measurement JULD is not used.,No last-message or transmission-end field. Generic measurement JULD is not used.,,(API generated_at - Last Transmission)/86400; UI floors completed days,UNAVAILABLE; NOT INFERRED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Communication Status,NO DATA,NO DATA,No last-message or transmission-end field. Generic measurement JULD is not used.,No last-message or transmission-end field. Generic measurement JULD is not used.,NO DATA,<=10 ACTIVE; >10 and <60 OVERDUE; >=60 NO COMMUNICATION; no timestamp NO DATA,UNAVAILABLE; NOT INFERRED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Prof# (highest cycle),27,27,https://data-argo.ifremer.fr/dac/incois/2901305/profiles/ [recognized filenames; distinct positive cycles],27,27,"Maximum recognized published cycle, not available count",UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901305,Profiles Missing,0,0,https://data-argo.ifremer.fr/dac/incois/2901305/profiles/ [recognized filenames; distinct positive cycles],0,0,Missing cycle numbers in 1..Prof# across recognized profile families,UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,WMO ID,2901328,2901328,config/metadata/meta.csv:7 [WMO id] | https://data-argo.ifremer.fr/dac/incois/2901328/2901328_meta.nc [PLATFORM_NUMBER],2901328,2901328,Current preset WMO; validate upstream PLATFORM_NUMBER,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Internal ID,102507,102507,"config/metadata/meta.csv:7 [Argos number, else imei]",Not used: local registry only; operational identity not independently verified,102507,"Local PTT, else local IMEI; unavailable stays null",LOCAL SOURCE MATCH,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Float Type,APEX,APEX,config/metadata/meta.csv + MultiCsvLoader.load_info(wmo).float_type → preset.platform_type | https://data-argo.ifremer.fr/dac/incois/2901328/2901328_meta.nc [PLATFORM_TYPE],APEX,APEX,Preset platform_type; public metadata cross-check where available,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Latitude,11.826°N,11.826,https://data-argo.ifremer.fr/dac/incois/2901328/profiles/D2901328_098.nc [LATITUDE index 0; JULD_LOCATION; POSITION_QC=1],11.826,11.826,"Newest paired QC 1/2 position, same source row as longitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Longitude,80.065°E,80.065,https://data-argo.ifremer.fr/dac/incois/2901328/profiles/D2901328_098.nc [LONGITUDE index 0; JULD_LOCATION; POSITION_QC=1],80.065,80.065,"Newest paired QC 1/2 position, same source row as latitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Last Transmission,—,,No last-message or transmission-end field. Generic measurement JULD is not used.,No last-message or transmission-end field. Generic measurement JULD is not used.,,Maximum valid authoritative per-cycle field; UTC; no measurement/profile substitution,UNAVAILABLE; NOT INFERRED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Expected Next Communication,—,,No last-message or transmission-end field. Generic measurement JULD is not used.,No last-message or transmission-end field. Generic measurement JULD is not used.,,Last Transmission +10 exact UTC days,UNAVAILABLE; NOT INFERRED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,No Communication / elapsed days,—,,No last-message or transmission-end field. Generic measurement JULD is not used.,No last-message or transmission-end field. Generic measurement JULD is not used.,,(API generated_at - Last Transmission)/86400; UI floors completed days,UNAVAILABLE; NOT INFERRED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Communication Status,NO DATA,NO DATA,No last-message or transmission-end field. Generic measurement JULD is not used.,No last-message or transmission-end field. Generic measurement JULD is not used.,NO DATA,<=10 ACTIVE; >10 and <60 OVERDUE; >=60 NO COMMUNICATION; no timestamp NO DATA,UNAVAILABLE; NOT INFERRED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Prof# (highest cycle),98,98,https://data-argo.ifremer.fr/dac/incois/2901328/profiles/ [recognized filenames; distinct positive cycles],98,98,"Maximum recognized published cycle, not available count",UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901328,Profiles Missing,6,6,https://data-argo.ifremer.fr/dac/incois/2901328/profiles/ [recognized filenames; distinct positive cycles],6,6,Missing cycle numbers in 1..Prof# across recognized profile families,UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,WMO ID,2901339,2901339,config/metadata/meta.csv:8 [WMO id] | https://data-argo.ifremer.fr/dac/incois/2901339/2901339_meta.nc [PLATFORM_NUMBER],2901339,2901339,Current preset WMO; validate upstream PLATFORM_NUMBER,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Internal ID,102510,102510,"config/metadata/meta.csv:8 [Argos number, else imei]",Not used: local registry only; operational identity not independently verified,102510,"Local PTT, else local IMEI; unavailable stays null",LOCAL SOURCE MATCH,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Float Type,APEX,APEX,config/metadata/meta.csv + MultiCsvLoader.load_info(wmo).float_type → preset.platform_type | https://data-argo.ifremer.fr/dac/incois/2901339/2901339_meta.nc [PLATFORM_TYPE],APEX,APEX,Preset platform_type; public metadata cross-check where available,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Latitude,10.536°N,10.536,https://data-argo.ifremer.fr/dac/incois/2901339/2901339_Rtraj.nc [LATITUDE index 5550; JULD; POSITION_QC=1],10.536,10.536,"Newest paired QC 1/2 position, same source row as longitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Longitude,70.362°E,70.362,https://data-argo.ifremer.fr/dac/incois/2901339/2901339_Rtraj.nc [LONGITUDE index 5550; JULD; POSITION_QC=1],70.362,70.362,"Newest paired QC 1/2 position, same source row as latitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Last Transmission,2020-12-20 06:39 UTC,2020-12-20T06:39:57+00:00,https://data-argo.ifremer.fr/dac/incois/2901339/2901339_Rtraj.nc [JULD_LAST_MESSAGE index 215; raw JULD=25921.277743055485],JULD_LAST_MESSAGE[215] = 25921.277743055485 days since 1950-01-01 UTC,2020-12-20T06:39:57+00:00,Maximum valid authoritative per-cycle field; UTC; no measurement/profile substitution,UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Expected Next Communication,2020-12-30 06:39 UTC,2020-12-30T06:39:57+00:00,https://data-argo.ifremer.fr/dac/incois/2901339/2901339_Rtraj.nc [JULD_LAST_MESSAGE index 215; raw JULD=25921.277743055485],2020-12-20T06:39:57+00:00,2020-12-30T06:39:57+00:00,Last Transmission +10 exact UTC days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,No Communication / elapsed days,2100 d,2100.6284094790626,https://data-argo.ifremer.fr/dac/incois/2901339/2901339_Rtraj.nc [JULD_LAST_MESSAGE index 215; raw JULD=25921.277743055485],2020-12-20T06:39:57+00:00,2100.6284094790626,(API generated_at - Last Transmission)/86400; UI floors completed days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Communication Status,NO COMMUNICATION 60+ DAYS,NO COMMUNICATION 60+ DAYS,https://data-argo.ifremer.fr/dac/incois/2901339/2901339_Rtraj.nc [JULD_LAST_MESSAGE index 215; raw JULD=25921.277743055485],2020-12-20T06:39:57+00:00,NO COMMUNICATION 60+ DAYS,<=10 ACTIVE; >10 and <60 OVERDUE; >=60 NO COMMUNICATION; no timestamp NO DATA,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Prof# (highest cycle),329,329,https://data-argo.ifremer.fr/dac/incois/2901339/profiles/ [recognized filenames; distinct positive cycles],329,329,"Maximum recognized published cycle, not available count",UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901339,Profiles Missing,0,0,https://data-argo.ifremer.fr/dac/incois/2901339/profiles/ [recognized filenames; distinct positive cycles],0,0,Missing cycle numbers in 1..Prof# across recognized profile families,UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,WMO ID,2901350,2901350,config/metadata/meta.csv:9 [WMO id] | https://data-argo.ifremer.fr/dac/incois/2901350/2901350_meta.nc [PLATFORM_NUMBER],2901350,2901350,Current preset WMO; validate upstream PLATFORM_NUMBER,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Internal ID,75415,75415,"config/metadata/meta.csv:9 [Argos number, else imei]",Not used: local registry only; operational identity not independently verified,75415,"Local PTT, else local IMEI; unavailable stays null",LOCAL SOURCE MATCH,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Float Type,APEX,APEX,config/metadata/meta.csv + MultiCsvLoader.load_info(wmo).float_type → preset.platform_type | https://data-argo.ifremer.fr/dac/incois/2901350/2901350_meta.nc [PLATFORM_TYPE],APEX,APEX,Preset platform_type; public metadata cross-check where available,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Latitude,51.059°S,-51.059,https://data-argo.ifremer.fr/dac/incois/2901350/profiles/D2901350_301.nc [LATITUDE index 0; JULD_LOCATION; POSITION_QC=1],-51.059,-51.059,"Newest paired QC 1/2 position, same source row as longitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Longitude,114.149°W,-114.149,https://data-argo.ifremer.fr/dac/incois/2901350/profiles/D2901350_301.nc [LONGITUDE index 0; JULD_LOCATION; POSITION_QC=1],-114.149,-114.149,"Newest paired QC 1/2 position, same source row as latitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Last Transmission,2020-04-26 18:09 UTC,2020-04-26T18:09:24+00:00,https://data-argo.ifremer.fr/dac/incois/2901350/2901350_Rtraj.nc [JULD_LAST_MESSAGE index 191; raw JULD=25683.75652777776],JULD_LAST_MESSAGE[191] = 25683.75652777776 days since 1950-01-01 UTC,2020-04-26T18:09:24+00:00,Maximum valid authoritative per-cycle field; UTC; no measurement/profile substitution,UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Expected Next Communication,2020-05-06 18:09 UTC,2020-05-06T18:09:24+00:00,https://data-argo.ifremer.fr/dac/incois/2901350/2901350_Rtraj.nc [JULD_LAST_MESSAGE index 191; raw JULD=25683.75652777776],2020-04-26T18:09:24+00:00,2020-05-06T18:09:24+00:00,Last Transmission +10 exact UTC days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,No Communication / elapsed days,2338 d,2338.1496247568402,https://data-argo.ifremer.fr/dac/incois/2901350/2901350_Rtraj.nc [JULD_LAST_MESSAGE index 191; raw JULD=25683.75652777776],2020-04-26T18:09:24+00:00,2338.1496247568402,(API generated_at - Last Transmission)/86400; UI floors completed days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Communication Status,NO COMMUNICATION 60+ DAYS,NO COMMUNICATION 60+ DAYS,https://data-argo.ifremer.fr/dac/incois/2901350/2901350_Rtraj.nc [JULD_LAST_MESSAGE index 191; raw JULD=25683.75652777776],2020-04-26T18:09:24+00:00,NO COMMUNICATION 60+ DAYS,<=10 ACTIVE; >10 and <60 OVERDUE; >=60 NO COMMUNICATION; no timestamp NO DATA,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Prof# (highest cycle),301,301,https://data-argo.ifremer.fr/dac/incois/2901350/profiles/ [recognized filenames; distinct positive cycles],301,301,"Maximum recognized published cycle, not available count",UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2901350,Profiles Missing,0,0,https://data-argo.ifremer.fr/dac/incois/2901350/profiles/ [recognized filenames; distinct positive cycles],0,0,Missing cycle numbers in 1..Prof# across recognized profile families,UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,WMO ID,2902086,2902086,config/metadata/provor_cts4_301_reference.csv [wmo]; path_resolver._discover_cts4_presets | https://data-argo.ifremer.fr/dac/incois/2902086/2902086_meta.nc [PLATFORM_NUMBER],2902086,2902086,Current preset WMO; validate upstream PLATFORM_NUMBER,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,Internal ID,—,,No PTT/IMEI in local identity registries (sanitized CTS4 data),Not used: local registry only; operational identity not independently verified,,"Local PTT, else local IMEI; unavailable stays null",LOCAL SOURCE MATCH (sanitized/unavailable),2026-09-20T21:44:51.578991+00:00,PASS
2902086,Float Type,PROVOR_III,PROVOR_III,service/path_resolver.py:_discover_cts4_presets [platform_type=PROVOR_III] | https://data-argo.ifremer.fr/dac/incois/2902086/2902086_meta.nc [PLATFORM_TYPE],PROVOR_III,PROVOR_III,Preset platform_type; public metadata cross-check where available,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,Latitude,18.330°N,18.33004,https://data-argo.ifremer.fr/dac/incois/2902086/2902086_Rtraj.nc [LATITUDE index 27995; JULD; POSITION_QC=1],18.33004,18.33004,"Newest paired QC 1/2 position, same source row as longitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,Longitude,84.768°E,84.76787,https://data-argo.ifremer.fr/dac/incois/2902086/2902086_Rtraj.nc [LONGITUDE index 27995; JULD; POSITION_QC=1],84.76787,84.76787,"Newest paired QC 1/2 position, same source row as latitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,Last Transmission,2016-02-16 04:34 UTC,2016-02-16T04:34:35+00:00,https://data-argo.ifremer.fr/dac/incois/2902086/2902086_Rtraj.nc [JULD_LAST_MESSAGE index 244; raw JULD=24152.190682870336],JULD_LAST_MESSAGE[244] = 24152.190682870336 days since 1950-01-01 UTC,2016-02-16T04:34:35+00:00,Maximum valid authoritative per-cycle field; UTC; no measurement/profile substitution,UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,Expected Next Communication,2016-02-26 04:34 UTC,2016-02-26T04:34:35+00:00,https://data-argo.ifremer.fr/dac/incois/2902086/2902086_Rtraj.nc [JULD_LAST_MESSAGE index 244; raw JULD=24152.190682870336],2016-02-16T04:34:35+00:00,2016-02-26T04:34:35+00:00,Last Transmission +10 exact UTC days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,No Communication / elapsed days,3869 d,3869.715469664248,https://data-argo.ifremer.fr/dac/incois/2902086/2902086_Rtraj.nc [JULD_LAST_MESSAGE index 244; raw JULD=24152.190682870336],2016-02-16T04:34:35+00:00,3869.715469664248,(API generated_at - Last Transmission)/86400; UI floors completed days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,Communication Status,NO COMMUNICATION 60+ DAYS,NO COMMUNICATION 60+ DAYS,https://data-argo.ifremer.fr/dac/incois/2902086/2902086_Rtraj.nc [JULD_LAST_MESSAGE index 244; raw JULD=24152.190682870336],2016-02-16T04:34:35+00:00,NO COMMUNICATION 60+ DAYS,<=10 ACTIVE; >10 and <60 OVERDUE; >=60 NO COMMUNICATION; no timestamp NO DATA,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,Prof# (highest cycle),244,244,https://data-argo.ifremer.fr/dac/incois/2902086/profiles/ [recognized filenames; distinct positive cycles],244,244,"Maximum recognized published cycle, not available count",UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902086,Profiles Missing,0,0,https://data-argo.ifremer.fr/dac/incois/2902086/profiles/ [recognized filenames; distinct positive cycles],0,0,Missing cycle numbers in 1..Prof# across recognized profile families,UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902087,WMO ID,2902087,2902087,config/metadata/provor_cts4_301_reference.csv [wmo]; path_resolver._discover_cts4_presets | https://data-argo.ifremer.fr/dac/incois/2902087/2902087_meta.nc [PLATFORM_NUMBER],2902087,2902087,Current preset WMO; validate upstream PLATFORM_NUMBER,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902087,Internal ID,—,,No PTT/IMEI in local identity registries (sanitized CTS4 data),Not used: local registry only; operational identity not independently verified,,"Local PTT, else local IMEI; unavailable stays null",LOCAL SOURCE MATCH (sanitized/unavailable),2026-09-20T21:44:51.578991+00:00,PASS
2902087,Float Type,PROVOR_III,PROVOR_III,service/path_resolver.py:_discover_cts4_presets [platform_type=PROVOR_III] | https://data-argo.ifremer.fr/dac/incois/2902087/2902087_meta.nc [PLATFORM_TYPE],PROVOR_III,PROVOR_III,Preset platform_type; public metadata cross-check where available,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
2902087,Latitude,12.247°N,12.24699,https://data-argo.ifremer.fr/dac/incois/2902087/2902087_Rtraj.nc [LATITUDE index 35147; JULD; POSITION_QC=1],12.24699,12.24699,"Newest paired QC 1/2 position, same source row as longitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
